Tweets,Sentiment
recent pregabalin study post Nice update? pic.twitter.com/iLIxUa7Eg4,positive
Pregabalin vs Placebo for #Sciatica : Is It Effective? http:// ow.ly/tXLh30amyDa,positive
Low back pain pill a 'sham' Pregabalin 'no better than placebo' in treating sciatica A drug called pregabalin ... http:// fb.me/8ky7Eq3Xw,negative
Pregabalin day 2: Pleasing,neutral
Concern over street use of epilepsy drug in Dublin and Limerick Pregabalin  a prescription drug  is being sold... http:// fb.me/20bkNbQBm,neutral
Glad I'm only on 50 mg Medikinet (for my ADHD),positive
Pregabalin no better than placebo for sciatica. Almost twice as many subjects had adverse effects with pregabalin . http:// fb.me/5XQwxgPMa,positive
Pregabalin didn't do anything for me (but it can help some). I'm signed off indefinitely at the moment til docs work it out.,neutral
wie sind pregabalin ?,neutral
pregabalin no good 4 sciatica http:// goo.gl/alerts/PS8FK use wheat cushions 20% discount https://www. etsy.com/shop/PainRelie fCushions  EASTER SALE 1-17TH APRIL,negative
No Benefit of Pregabalin in Sciatica https:// lnkd.in/eFZVZ-Q,neutral
#Pregabalin #harmreduction campaign launched on @drugsdotie http://www. drugs.ie/news/article/p regabalin_harm_reduction_campaign_launched  via @drugsdotie,neutral
John Tanner quotes N Engl J Med 2017; 376:1111-1120 no effect of Pregabalin on sciatica pain is this addictive Med an illusion? #basemspine pic.twitter.com/qF4oEt4n28,neutral
But recent evidence shows pregabalin doesnt work! So are neuropathic agents really the next step for radiculagia from PIVD? #basemspine https:// twitter.com/linearprobe/st atus/847401281865998338 ,positive
 Pregabalin (Lyrica) - no more effective than placebo" Trial of Pregabalin for Acute and Chronic Sciatica http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292  #NEJM",positive
PAIN | Trial of Pregabalin for Acute and Chronic Sciatica. https:// plus.mcmaster.ca/PainPlus/Socia l/Article/uTU4INZM4DOnHUVhSpHMwA?Source=email#.WNy87hoJ8J0.twitter ,positive
problematic use of pregabalin amongst our client groupwas identified by frontline workers a number of months ago http://www. thejournal.ie/pregabalin-inj ecting-snorting-dublin-limerick-3312295-Mar2017/?utm_source=shortlink ,neutral
Trial of Pregabalin for Acute and Chronic Sciatica  NEJM http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292 ,positive
hmmm... I wanted to be on pregabalin as so many say is superior but Dr refused. Cost thing I believe.,positive
Definitely need titrating. I've gone back on Gabapentin because I think the pregabalin was messing with my guts. now unsure,neutral
@tonyduffin from @AnaLiffey discussing Pregabalin misuse. Harm reduction info: http:// drugs.ie/pregabalin http:// jrnl.ie/3312295,neutral
Trial of Pregabalin for Acute and Chronic Sciatica  NEJM http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292#.WNydbD1JthE.twitter ,positive
Pregabalin may treat the pain and the stiffness on which other medication doesn't work,negative
The anti-convulsant drugs gabapentin and pregabalin may be used. #Fibromyalgia,neutral
No Benefit of Pregabalin in Sciatica http://www. medscape.com/viewarticle/87 7640 ,neutral
Anyone who has stopped pregabalin cold turkey?,negative
Pregabalin at wk 8 unhelpful for subacute radiculopathy causing sciatica. Not surprised. TFESI does help. http:// ow.ly/NGrL30anWOw,negative
Pregabalin and duloxetine are approved for the management of #fibromyalgia .,neutral
Pregabalin improved both insomnia and the back pain from spine fractures of my patient.Side effect works well.,neutral
Pregabalin vs Placebo for Sciatica: Is It Effective? http://www. neurologyadvisor.com/pregabalin-not -effective-for-sciatica-treatment/article/646820/  via @neuroadvisor Try PT 1st!,positive
i wish i could give everyone around me some Pregabalin so they'd be happy and shut the hell up.,positive
Nerve drug pregabalin ineffective for sciatica,neutral
Nerve drug pregabalin ineffective for sciatica,neutral
pregabalin ?? And we're good to go lol x,positive
Pregabalin ,neutral
Both effective. Sometimes less side-effects with pregabalin ,positive
#cpcdialog any experience with Pregabalin over Gabapentin? https:// twitter.com/AllenFinley/st atus/847102804229525504 ,neutral
Nerve drug pregabalin ineffective for sciatica,neutral
i was given pregabalin for anxiety and it helps some of my pain a lot,neutral
Nerve drug pregabalin ineffective for sciatica,neutral
i'm currently on ibuprfen too & omeprazole. i'm planning to try out gababentin/ pregabalin and possibly cannabinoids,neutral
Nerve drug pregabalin ineffective for sciatica,neutral
Nerve drug pregabalin ineffective for sciatica,neutral
Nerve drug pregabalin ineffective for sciatica,neutral
Nerve drug pregabalin ineffective for sciatica,neutral
Pregabalin vs Placebo for #Sciatica : Is It Effective? http:// goo.gl/alerts/EVyzC use wheat cushions 4 pain not drugs http:// tinyurl.com/muy6v4g,positive
Nerve drug pregabalin ineffective for sciatica,neutral
Nerve drug pregabalin ineffective for sciatica,neutral
Pregabalin may treat the pain and the stiffness on which other medication doesn't work,negative
I never tried pregabalin ,neutral
Just the pregabalin mind you,neutral
New2Trip: Pregabalin Zentiva k.s. - neuropathic pain,neutral
Pregabalin Is Ineffective for Treating Sciatica Pain - NEJM Journal Watch http://www. jwatch.org/na43704/2017/0 3/22/pregabalin-ineffective-treating-sciatica-pain?ijkey=r7547VMlS/f9I&keytype=ref&siteid=jwatch&variant=full-text ,positive
Na sowas: Lyrica ( Pregabalin ) wirkt doch nicht gegen Ischialgie. Aber auch nicht gegen Schmerzen,neutral
Levetiracetam synergizes with gabapentin,neutral
A PRECISE Study of Pregabalin for Sciatica https:// resident360.nejm.org/content_items/ 2534/ ,positive
pregabalin did that to me stopped taking it now Dr wants me to try again 4x as much ffs no chance lol x,positive
Pregabalin Is Ineffective for Treating Sciatica Pain https:// shar.es/1QgHQv,neutral
Carbocistine,neutral
Pregabalin sucks for sciatica and HERDOO2 for that special lady http:// blogs.bmj.com/bmj/2017/03/27 /richard-lehmans-journal-review-27-march-2017/ ,positive
Its official! The #DrugsDontWork #drugfree Pregabalin Is Ineffective for Treating Sciatica Pain - NEJM Journal Watch http://www. jwatch.org/na43704/2017/0 3/22/pregabalin-ineffective-treating-sciatica-pain?ijkey=r7547VMlS/f9I&keytype=ref&siteid=jwatch&variant=full-text ,positive
then perhaps pregabalin scripts will increase #opportunitycosts,neutral
Pregabalin ineffective for sciatica pain #EBM #chronicpain http://www. jwatch.org/na43704/2017/0 3/22/pregabalin-ineffective-treating-sciatica-pain ,neutral
PRECISE study demonstrates no pain benefit to pregabalin compared to placebo in treatment of sciatica. @NEJM https:// twitter.com/NEJM/status/84 6701079563845633 ,positive
Biological rationale and potential clinical use of gabapentin and pregabalin in bipolar disorder,neutral
Pregabalin /Lyrica has no benefit versus placebo for sciatica. Does have increased chance of side-effects. https:// twitter.com/NEJM/status/84 6701079563845633 ,neutral
Pregabalin for sciatica: risks easily outweigh (non-existent) benefits in this,positive
Trial of Pregabalin for Acute and Chronic Sciatica http:// plus.mcmaster.ca/evidencealerts /viewarticle.aspx?a=73884&S=TW&U=c6JvWc4WQrDH02MQi3mRXQ== ,positive
From Pages to Practice: Pregabalin for Sciatic Pain http:// nej.md/2o93f8O via @NEJMres360 pic.twitter.com/ISEUPObzsI,neutral
Errr I'm getting carbocisteine,neutral
Weeks of it for #DVT ! (RTA) So,neutral
so bsi neuropathic pain.. pregabalin (lyrica) na yan,neutral
Biological rationale and clinical use of gabapentin & pregabalin in bipolar disorder,neutral
Cumulative effect of 3 prescription drugs (methadone,neutral
The efficacy of pregabalin for the management of postoperative pain in primary total knee and hip arthroplasty: a  http:// ift.tt/2nqpubg,positive
Pregabalin Is Ineffective for Treating Sciatica Pain http:// fb.me/1RLqmJURV,neutral
pregabalin kinda ?,neutral
@diar_fattah If we're going that way then we'd better stop tramadol,positive
Pregabalin no better than placebo for sciatica. http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292?query=TOC  @AmrNeurosurgery @markhwilson @SpineNeuroSurg @CrispinWigfield,positive
Pregabalin is an anticonvulsant drug used for #NeuropathicPain .,neutral
No Benefit of Pregabalin in Sciatica http://www. medscape.com/viewarticle/87 7640?src=soc_fb_170327_mscpedt_news_pharm_sciatica?src=soc_tw_share  via @medscape,neutral
Pregabalin no better than placebo for treating #backpain or #sciatica : listen to @DrChristineLin with @normanswan https:// radio.abc.net.au/programitem/pg 4G0d3p4G  pic.twitter.com/zwU4XOjw4M,negative
No benefit for Pregabalin over placebo for Sciatica." NEJM RCT (n=209) http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292#.WNmpkAaDpjg.twitter  #NEJM #lowbackpain #chronicpain",positive
New post in Dev. of Pharmacy Career Channel: Original Article: Trial of Pregabalin for Acute and Chronic Sciatica  http:// ift.tt/2noUHvv,positive
Trial of Pregabalin for Acute and Chronic Sciatica  NEJM http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292#.WNmDYiEEp_M.twitter ,positive
Pregabalin Is Ineffective for Treating Sciatica Pain https:// shar.es/1QWbZ1,neutral
Pregabalin ? Is this for pregnant women who want to play basketball?,positive
What's surprisingly vague is that #NICE / CKS recommends Pregabalin for *all* neuropathic pain,positive
Pregabalin Is Ineffective for Treating Sciatica Pain. http://www. jwatch.org/na43704/2017/0 3/22/pregabalin-ineffective-treating-sciatica-pain?ijkey=r7547VMlS/f9I&keytype=ref&siteid=jwatch&variant=full-text#,positive
No Benefit of Pregabalin in Sciatica http://www. medscape.com/viewarticle/87 7640?src=soc_fb_170327_mscpedt_news_pharm_sciatica?src=soc_tw_share  via @medscape,neutral
Pregabalin Is Ineffective for Treating Sciatica Pain. https:// zedie.wordpress.com/2017/03/27/pre gabalin-is-ineffective-for-treating-sciatica-pain ,neutral
according to this article pregabalin a pretty weak drug in DPN with lots of unpublished negative trials; http://www. neurology.org/content/early/ 2017/03/24/WNL.0000000000003882.short?sid=c33e4077-9b9c-41b9-b388-73274682b1ad ,negative
i thought i would never be able to function normally under the effect of pregabalin but i have achieved this.,positive
Biological rationale and potential clinical use of gabapentin and pregabalin in bipolar di.. #bipolar #bhivelabs http:// dld.bz/f8a8c,neutral
Pregabalin not effective for pain in sciatica - isn't this depressing http:// redd.it/61jktb #Sciatica http:// morethancure.com/mtc/dx/?s=Scia tica ,negative
Pain is personal. Pregabalin definitely not first choice for sciatica @NEJM but does it work for anyone? Not clear. http:// blogs.bmj.com/bmj/2017/03/27 /richard-lehmans-journal-review-27-march-2017/ ,negative
No es mejor que placebo....Trial of Pregabalin for Acute and Chronic Sciatica  NEJM http:// ln.is/www.nejm.org/d oi/ful/AWU96 ,positive
Gabapentin is INEFFECTIVE in diabetic neuropathy. Use duloxetine,neutral
@gallenbitter Epileptiker finden das urwitzig. Aber nur wenn sie Pregabalin eingeworfen haben...,neutral
Pregabalin . Ha. What is it good for? Absolutely.. .. https:// twitter.com/felly500/statu s/846398251788066816 ,positive
Pregabalin ineffective for sciatica @JoWatson99 @ElspethDesert @LizzieDavey2 @JayneLMasters https:// twitter.com/cgmmaher/statu s/844656032219508736 ,neutral
Pregabalin Is it effective for anything Is it any better than any of the (cheaper) alternatives? Discuss https:// twitter.com/tomratcliffe2/ status/846276121847050240 ,positive
Pregabalin : uses,neutral
Pregabalin no more effective than placebo in treatment of acute,positive
Pregabalin : uses,neutral
 Pregabalin No Help for Sciatica Leg Pain" http://www. medpagetoday.com/Neurology/Pain Management/64054 ",neutral
Game changer? Pregabalin No Help for Sciatica Leg Pain https://www. medpagetoday.com/Neurology/Pain Management/64054  .,negative
Efficacy of pregabalin for management of postoperative pain in primary total knee and hip arthroplasty http:// bit.ly/2nEcAZa #FOAMortho,positive
No evidence for benefit of pregabalin treatment in sciatica https:// twitter.com/britishpainsoc /status/844822404400496641 ,neutral
#Pregabalin no better than a #placebo at relieving leg pain linked to #sciatica - with more side effects! Send on. pic.twitter.com/mjqThcMTIY,positive
pregabalin ,neutral
If it's not pregabalin it's gabapentin and if that does not work then it's amitriptyline. The amount of drugs used for neuropathic pain. #MS,neutral
Trial of Pregabalin for Acute and Chronic Sciatica http:// ift.tt/2na0hl6,positive
Trial of Pregabalin for Acute and Chronic Sciatica http://www.nejm.org:80/doi/full/10.1056/NEJMoa1614292?af=R&rss=currentIssue nejm.org/doi/full/10.10  #Massachusetts Medical Society: New England Journal of Medicine,positive
Is Pregabalin Ineffective in Acute or Chronic Sciatica? http://www.nejm.org:80/doi/full/10.1056/NEJMe1701147?af=R&rss=currentIssue nejm.org/doi/full/10.10  #Massachusetts Medical Society: New England Journal of Med,positive
Drug no good for back pain: Pregabalin no better than placebo for treating back pain or sciatica. https:// goo.gl/fb/E46q6Q,negative
Sciatica medication Pregabalin no more effective than placebo: our @NEJM study in @abcnews http://www. abc.net.au/news/2017-03-2 3/sciatica-drug,positive
Pain from sciatica: no improvement with pregabalin in major randomised trial. http:// ow.ly/9gVv30aauv7,positive
