Tweets,Sentiment
Bakeware Sets @Amazon http:// amzn.to/2eLylSA #pots #pans #baking #cooking #bakeware #cookware #household pic.twitter.com/tPq4lhh5FZ,neutral
Pots and Pans #pots #pans http:// polyv.re/2pE2Lsc #polyvoreStyle,neutral
This. Just do this,neutral
#Inspiration . . . #clay #pots #ceramic #ceramics #pottery #craft #handmade #craftsmanship  https://www. instagram.com/p/BS634j9ACT1/,neutral
#busker beating pots & pans... #shopstreet #galway #busking #drumming #drummer #pots #pans  https://www. instagram.com/p/BS6y1b8FJo7/,neutral
I wish @realDonaldTrump would just drop a big nuke on my POTS! #spoonielife #pots #Dysautonomia,neutral
173v230 mins a goal 2768v3452 mins played 16v15 goals scored 53%v48% shots on target Cam v Champ player of season Knockaert !! #NCFC #POTS,neutral
Regular Use of Saline May Reduce Symptoms,neutral
Cactus and succulents home decoration pot tutorial http:// outoftheflow.com/diy/cactus-and -succulents-home-decoration-pot-tutorial/  via @outoftheflow #cactus #succulents #pots #decoration #home,neutral
#pots #earthenpots #decoration #decor #rannutsav2016 #kutch #rannutsav https://www. instagram.com/p/BS6ZqCdh-Ox/,neutral
Pequeos regalos de la naturaleza por dedicarle tiempo. #love my #garden #ponds #pots #plants  https://www. instagram.com/p/BS6YYaQhN5X/,positive
Mine to. Sadly,negative
@montysdognigel Looking down #toptulips #tulips #bulbs #spring #pots pic.twitter.com/0Z77igCOT9,negative
Yay I've reached 900 followers thank you for joining #myJourney in raising awareness for #hiddendisabilities #EDS #POTS #MCAD,neutral
#flowerpots #gold #pots #concrete #industrial #style #decor #homedecor #artdeco #design  https://www. instagram.com/p/BS6O3oYhL6j/,positive
Our #illnesses don't define us we define ourselves - Hannah Harry #EDS #POTS #MCAD #Hiddenillnesses,neutral
The support I've had over the past few days has been amazing thank you again feeling #proud & #overwhelmed #EDS #POTS #MCAD,positive
This is how I blog. http:// spooniewarrior.com will be very soon! #blog #blogger #blogchat #spoonie #spooniewarrior #eds #pots #snacktime pic.twitter.com/oMPQtiOAqF,positive
#EDS #POTS & #MCAD don't define us we define ourselves #PositiveVibes pic.twitter.com/xcMVVypcyd,neutral
Love my cinema light stand up 2 #EDS & #POTS @ehlersdanlosuk @EDSawareness1 pic.twitter.com/qqavQsU1lU,positive
#Norwich - we're back!! Had a wonderful morning @TheForumNorwich Global Market - great event,positive
Thank you for taking my monthly London appointments,neutral
#Customize #DIY #Pots #Simple #TerraCotta #To #diy #crafts Please RT: http://www. homedecoratingdiy.com/simple-diy-way s-to-customize-terracotta-pots  pic.twitter.com/P692gYNkbY,neutral
#Celebration of #Easter in #Corfu is a unique experience! Locals #Throwing #Pots from Balconies! #tradition #studyingreece   pic.twitter.com/ikVKSUGMTw,positive
Good lawd pots makes you one big hot sweaty mess! I say that like it doesn't happen everyday.. #potsie #pots #SpoonieProblems,positive
Now I know why they say #POTS is equivalent to having #COPD and heart failure. I'm out of breath. #spoonie,negative
#GoGreen #Plants #Pots #Habitt #NaturalPlants #Nature https://www. instagram.com/p/BS5l7HUhLAG/,neutral
#Set Of 8 #Cute #Succulent #Artificial #House #Plants In #Ceramic #Pots #$16.00 https:// classbargain.com/posts/5RbteHo3 QLuDMi2C8/set-of-8-cute-succulent-artificial-house-plants-in-ceramic ,negative
8 secret wonders of Aldeburgh #aldeburgh #stable #gardencentre #cafe #vintage #pots #gardenpots  https://www. instagram.com/p/BS5YoylBtgL/,negative
Bakeware Sets @Amazon http:// amzn.to/2eLylSA #pots #pans #baking #cooking #bakeware #cookware #household pic.twitter.com/XkeFfn9C9a,neutral
I am so over wearing this heart event monitor! It's been 22 days of pure torture #fml #EDS #pots #Dysautonomia #lifeofaspoonie pic.twitter.com/UfXIHuIxNb,positive
Had to steal this from my Hollie girl! @holliegirll #facts #POTS #Dysautonomia pic.twitter.com/nCYkIv6sSw,neutral
Picking up some handmade ceramic pots for the store. . . . . . . . . . #ceramic #pots #planters #store http:// fb.me/2WkF53XLa,neutral
well some of the best #flowers planted in #pots a glimpse from #home #hobby of mom https://www. instagram.com/p/BS5GOvxhM4-/,positive
#POTS is NOT rare,negative
Interesting I've not seen Pinto yet mentioned for #pots #ncfc,positive
Feeling just terrible again. These quick swings are the ones that will kill me. #bipolar #anxiety #EhlersDanlosSyndrome #pots,negative
Y'all what are some low carb,neutral
Thank you all for your support today it means the world. Check out my blog http://www. medicsmylineandme.com #EDS #POTS #MCAD,neutral
Washed my hair AND shaved today. I feel accomplished #timeforanap #SpoonieSpeak #spoonie #potsie #POTS #dysautonomia #smallvictories,positive
Looks like chocolate! Perfect for Easter . . . . . #pots #chocolate #easter #spring #april  https://www. instagram.com/p/BS4LbcGh1uD/,positive
Looks like chocolate! Perfect for Easter . . . . . #pots #chocolate #easter #spring #april #green #vegan #healthy #pottery #potter pic.twitter.com/sfIvWMwiR5,positive
Easter themed container pot,neutral
Brighten up your garden with one of these #campervan planters! #gardening #pots #planters pic.twitter.com/5GsH3kHIlk,neutral
Had plans to do things today but #hEDS & #POTS has other ideas. Feeling of fatigue with intense palpitations can do one. Gutted. #EDS,positive
#Clay #Crafts #Android #App on #Amazon #dolls #toys #polymer #pots #tutorials #design #projects #artist #art #kids http://www. amazon.com/Bliss-Apps-Cla y-Crafts/dp/B00CISQKQ0/ ,neutral
New to POTS? Need some tips? Here's my Top 5 tips for living with POTS :D https://www. youtube.com/watch?v=qCboKm Ty3P4  #POTS @TeamFightPOTS @POTSproblems,positive
Jonny Howson for me #pots,neutral
1. Cameron Jerome 2. Jonny Howson 3. Wes Hoolahan ( IMO ) #POTS #ncfc,neutral
Learn. Donate. Share. Get informed about #POTS ,neutral
Should welcome it,positive
Whoever thought world war 3 would start with a tweet? #pots #Trump #NorthKorea #wereallfucked #makelovenotwar,neutral
You know he's a keeper when he lets you sleep on him all day #EDS #POTS #MCAD pic.twitter.com/Z9BdLcGM83,neutral
7Pcs Set For a Mere 39AED! Shop Today!  7  39!  ! http:// awok.co/DailyDeals #pots #pans #kitchen #cookware #cooking pic.twitter.com/vPY70yF9Cv,negative
I'm classified as a class a user but I need a class c chair due to my rare disease. :( #elhersdanlossyndrome #POTS,positive
#POTS #dysautonomia #hospital pic.twitter.com/DWPotlnUrb,neutral
Sorry Wes but he's definitely #POTS #ncfc #OTBC,negative
What a difference some grass makes #newgarden #makethebestofwhatyouhave #notabadview #pots  https://www. instagram.com/p/BS30iNSFiIA/,neutral
Bakeware Sets @Amazon http:// amzn.to/2eLylSA #pots #pans #baking #cooking #bakeware #cookware #household pic.twitter.com/zbgsTF3Ff4,neutral
My team of the season #POTS pic.twitter.com/V7yFgn3VnF,neutral
#GoodFriday If u have a few bucks,negative
9 Piece Stainless Steel Pan Set. https://www. thehomeabode.com/product-page/h ome-9-piece-stainless-steel-pan-set  #kitchen On Sale. #appliances #news #retail #shopping #style #trends #pots #pans pic.twitter.com/P1umqpW98z,positive
#throwback from when I had to learn to #walk again after fighting for my life in #ITU for 4 months #EDS #POTS #MCAD pic.twitter.com/q8Ta0yO8N8,neutral
#ProPot #Active #Fabric #Pots #BorntobeaGrower http://www. gardenhighpro.com/products pic.twitter.com/ApVWiLeShW,negative
More student's ceramics from my free funded Paisley Museum class! #ceramics #paisley2021 #UKCItyofCulture2021 #DCMS #paisley #culture #pots pic.twitter.com/NhBxaN623i,positive
Who said you can't be glamorous and be on oxygen? #throwback #EDS #POTS #MCAD #NHS #PositiveVibes pic.twitter.com/cukSw6aQEV,neutral
Nothing beats a #pamperday when your #EDS and #POTS is playing up. Let's hope my #MCAD will behave but I'm still smiling #positivevibes pic.twitter.com/zJWSU22QUl,neutral
http:// ow.ly/7cCl30aKULI Che ne dite di un burger di patate e legumi con #okara per pranzo? #veg #spazioconsumatori #pots &pans,neutral
My happy place ! So stoked to make #pots all summer long. GoodBye school. #Dream #PolarIce  https://www. instagram.com/p/BS3HZrBhhCu/,positive
Sell #pots and #planters ? Get your site reviewed via our #directory @http:// bit.ly/20ULPtB pic.twitter.com/1bt9DSCWID #PLTP,neutral
You know have #pots when: a mosquito bite from 3 days ago causes a bright red and swollen ankle,positive
